"url","url-block","image","title","comment"
"http://myvape.com.ph/shop-by-brands/mcv-philippines.html",".product-shop",".product-image",".product-name",
"https://www.vaportechusa.com/collections/advanced/Vaportech-Official",".hidden",".lazyload-fade.lazyautosizes.lazyloaded",".product-title",
"http://www.vapjoy-ecig.com/plus/list.php?tid=9",".product-item",".portfolio-img",".portfolio-title",
"http://www.vapemons.com/",".prod_box.trans",".pic_box",".pro_name",
"https://carrackvape.com/collections/deathwish-modz",".item-effect",".product-image",".product-name",
"http://ivapeiq.com/",".product_links",".product_img.tableCell",".product_name",
"https://ariovape.com/collections/all",".ProductItem ",".ProductItem__Image.Image--fadeIn.lazyautosizes.Image--lazyLoaded",".ProductItem__Title.Heading",
"http://billetboxvapor.mybigcommerce.com/",".QuickViewBtn",".ProductImage.QuickView",".ProductDetails",
"https://ennequadromods.com/?v=e4187bfd8f92",".btn.btn-primary.add-to-cart",".product-container-img",".name",
"http://www.hussarvapes.com/",".column.is-12-mobile.is-6-tablet",".responsively-lazy.shb-product-list-image-set-horizontal.shb-product-list-image-ratio-horizontal.shb-product-list-img-opacity .crop-photo",".column.align-center.shb-text-header",
"http://www.jwellstores.com/en/",".ghost-link",".product-item__image__img",".title.text--large.light",
"https://rusmods.com",".product-thumb.transition",".image",".name",
"http://www.high-creek.ch/box-atelier-electro",".product-miniature.product-miniature-default.product-miniature-grid.product-miniature-layout-1.js-product-miniature",".thumbnail.product-thumbnail",".h3.product-title",
"https://thevapelounge760.com/collections/tvl-products",".product-info-inner",".prod-image",".prod-title",
"https://www.odisdesign.com/collections",".grid-view-item__link.grid-view-item__image-container",".ProductCardImage-collection-template-4416333414474",".h4.grid-view-item__title",
"https://www.dragonmodco.com/",".grid-link",".product__img.lazyautosizes.lazyloaded",".grid-link__title",
"https://vaponaute.com/en/#",".thumbnail.product-thumbnail",".product-miniature-image",".name-product-list",
"http://provape.com/",".product-item-link",".box-image",".product.name.product-item-name.product-name",
"http://www.suicidemods.com/",".button.product_type_simple",".flex-active",".product_title.entry-title",
"https://www.fynemods.co.uk/",".wsite-com-category-product-name.wsite-com-link-text",".wsite-com-category-product-featured-image.wsite-imageaspectratio-image",".wsite-com-category-product-name.wsite-com-link-text",
"http://csmods.co.uk/",".product_item_link",".product_details",".product_item_link.product_img_link",
